address,company,detail,position
,字节跳动,,"
游戏运营助理
"
,字节跳动,,"
数据仓库工程师
"
,字节跳动,,"
多媒体技术负责人
"
,字节跳动,,"
广告反作弊数据挖掘工程师
"
,字节跳动,,"
基础架构研发工程师-核心广告系统
"
,字节跳动,,"
图像算法工程师-图像视频并行计算3D算法
"
,字节跳动,,"
数据运营专员
"
,字节跳动,,"
广告内容审查
"
,字节跳动,,"
资深前端研发工程师-aPaaS 团队
"
,字节跳动,,"
运营经理
"
,字节跳动,,"
商业策略产品经理-定向方向
"
,字节跳动,,"
国际化招商策划经理
"
,字节跳动,,"
游戏商务经理-华南区域
"
,字节跳动,,"
商业化-高级广告销售顾问
"
,字节跳动,,"
微头条业务专员
"
,开发品质房产　助力美好生活,,"
发展策划专员
"
,开发品质房产　助力美好生活,,"
合约工程师
"
,开发品质房产　助力美好生活,,"
成本工程师
"
,开发品质房产　助力美好生活,,"
项目拓展经理
"
,美团，新美大,,"
B2B-商城高级产品经理
"
,美团，新美大,,"
品牌高级经理-上海
"
,美团，新美大,,"
美团平台-产品经理
"
,美团，新美大,,"
业务助理
"
,美团，新美大,,"
商业分析师 - 市场研究方向
"
,美团，新美大,,"
渠道商务经理
"
,美团，新美大,,"
人力资本分析师
"
,美团，新美大,,"
交互设计师-上海
"
,美团，新美大,,"
销售代表
"
,美团，新美大,,"
美团配送-算法策略工程师
"
,美团，新美大,,"
VIP图像算负责人
"
,美团，新美大,,"
基础技术部-C工程师技术专家
"
,美团，新美大,,"
快驴事业部-成都商户运营
"
,美团，新美大,,"
维修支持工程师
"
,美团，新美大,,"
驻场工程师
"
,杰瑞集团,,"
石油工程工艺工程师
"
,杰瑞集团,,"
人力资源专员
"
,杰瑞集团,,"
电仪检验工程师
"
,杰瑞集团,,"
系统集成工程师
"
,杰瑞集团,,"
俄语国家海外EPC市场开发
"
,杰瑞集团,,"
出厂检验员
"
,杰瑞集团,,"
品牌宣传专员
"
,杰瑞集团,,"
施工经理
"
,杰瑞集团,,"
机械工程师
"
,杰瑞集团,,"
技术应用工程师
"
,杰瑞集团,,"
品牌推广专员
"
,杰瑞集团,,"
管道工程师
"
,杰瑞集团,,"
项目报价经理
"
,杰瑞集团,,"
仪表高级工程师
"
,杰瑞集团,,"
石油工艺设计经理
"
,快手,,"
广告策划专家-商业化
"
,快手,,"
华东区KA销售经理-商业化
"
,快手,,"
人力资源共享服务主管服务交付方向-成都
"
,快手,,"
专利工程师
"
,快手,,"
运维开发工程师- 监控方向
"
,快手,,"
资深达人运营
"
,快手,,"
信息流广告业务商务经理-商业化
"
,快手,,"
资深前端开发工程师- 效率工程
"
,快手,,"
iOS开发工程师- 海外
"
,快手,,"
小程序产品经理- 孵化
"
,快手,,"
信息流广告优化师- 新产品
"
,快手,,"
HRBP
"
,快手,,"
Android开发工程师-社交
"
,快手,,"
内容策略运营
"
,快手,,"
HR实习生- 招聘
"
,乐有家,,"
福田销售 底薪6800 带薪培训
"
,乐有家,,"
又加薪 7500起薪 销售实习 提供住宿
"
,乐有家,,"
毕业实习 提供住宿 导师带教
"
,乐有家,,"
营销管培生 应届毕业生大专6800起
"
,乐有家,,"
营销储备干部 应届毕业生
"
,乐有家,,"
销售代表换工作*  可就近安排
"
,乐有家,,"
成都乐有家 管培生5200起 五险一金
"
,乐有家,,"
实习生 底薪6800起  提供住宿
"
,乐有家,,"
天河区房产销售+底薪7200+提成百分之55
"
,乐有家,,"
营销管培生+高薪7.5k+大学生团队
"
,乐有家,,"
行政主任+高薪+晋升空间大
"
,乐有家,,"
行政人事专员 朝九晚六 福利好
"
,乐有家,,"
底薪7500实习置业顾问
"
,乐有家,,"
7500底薪置业顾问
"
,乐有家,,"
7500底薪置业顾问
"
,瓜子二手车，车好多,,"
高级资深Android工程师
"
,瓜子二手车，车好多,,"
瓜子二手车车场管理员
"
,瓜子二手车，车好多,,"
汽车销售
"
,瓜子二手车，车好多,,"
供应链主管-太原12928
"
,瓜子二手车，车好多,,"
社区店店长
"
,瓜子二手车，车好多,,"
销售数据分析
"
,瓜子二手车，车好多,,"
门店销售主管
"
,瓜子二手车，车好多,,"
产品运营经理6809
"
,瓜子二手车，车好多,,"
后台产品经理
"
,瓜子二手车，车好多,,"
区域经理
"
,瓜子二手车，车好多,,"
销售代表
"
,瓜子二手车，车好多,,"
新车区域经理-湖北省
"
,瓜子二手车，车好多,,"
HRBP经理
"
,瓜子二手车，车好多,,"
区域HRBP
"
,瓜子二手车，车好多,,"
二手车收车专员
"
,三一重工,,"
SAP高级顾问BA工程师
"
,三一重工,,"
商务副总监
"
,三一重工,,"
整车网络
"
,三一重工,,"
服务专员
"
,三一重工,,"
工艺工程师
"
,三一重工,,"
机械设计专家
"
,三一重工,,"
ssc经理
"
,三一重工,,"
焊接涂装组装工装机加工艺工程师
"
,三一重工,,"
销售管理与运营总监
"
,三一重工,,"
销售管理经理
"
,三一重工,,"
数据库管理员
"
,三一重工,,"
工艺工程师
"
,三一重工,,"
矿山产品经理
"
,三一重工,,"
自卸车营销经理
"
,三一重工,,"
制造管理专员
"
,腾讯,,"
SA-腾讯社交广告金融行业运营经理
"
,腾讯,,"
SNG16-腾讯音乐Android开发工程师
"
,腾讯,,"
高级后台开发工程师-微视
"
,腾讯,,"
30933-宝可梦-系统策划
"
,腾讯,,"
EC-编程教育内容设计开发
"
,腾讯,,"
56799-WXG10-113 企业微信技术合作中心后台开发工程师
"
,腾讯,,"
35604-GOCJava后台开发工程师
"
,腾讯,,"
25663-腾讯云海外架构师组长
"
,腾讯,,"
CSIG02-智慧教育web前端开发工程师
"
,腾讯,,"
22989-腾讯云音视频终端架构师
"
,腾讯,,"
21557-Deep Learning Framework Research Engineer
"
,腾讯,,"
15569-写实竞速手游高级2D机械原画设计师
"
,腾讯,,"
22989-大数据AI综合应用后台开发工程师
"
,腾讯,,"
14137-WXG财务管理
"
,腾讯,,"
30933-小游戏客户端开发工程师
"
,阿里,,"
阿里巴巴银泰商业-新零售Java开发专家
"
,阿里,,"
Android开发工程师
"
,阿里,,"
盒马-金牌店长招募令-上海
"
,阿里,,"
阿里云智能-移动云运营专家-北京杭州
"
,阿里,,"
零售通-业务专家-湛江
"
,阿里,,"
平头哥-芯片验证专家-IO-上海
"
,阿里,,"
CBU技术部-C2M-前端方向
"
,阿里,,"
Tmall World-Consumer Experience Product Manager
"
,阿里,,"
天猫国际-渠道供应链运营专家
"
,阿里,,"
高级门店运营专家
"
,阿里,,"
阿里集团-云业务经理-安徽区域
"
,阿里,,"
阿里云智能-高级政务业务专家-北京
"
,阿里,,"
考拉海购-食品保健品行业采购
"
,阿里,,"
数据技术及产品部-法务专家-北京
"
,阿里,,"
阿里集团-BU法务专家-杭州
"
,华为,,"
运营资产管理经理
"
,华为,,"
大数据运维工程师
"
,华为,,"
Android端侧开发高级开发工程师
"
,华为,,"
人力资源招聘专员
"
,华为,,"
IaaS升级软件专家
"
,华为,,"
产品与解决方案专家
"
,华为,,"
BTBLE蓝牙芯片工程师-798098929943
"
,华为,,"
产品经理
"
,华为,,"
Web应用开发高级工程师
"
,华为,,"
大数据开发高级工程师
"
,华为,,"
机器学习算法工程师
"
,华为,,"
音频算法工程师
"
,华为,,"
Mongodb 数据库高级工程师
"
,华为,,"
显示光学设计工程师
"
,华为,,"
UX架构交互设计师
"
